10.01.2017,59.8961
11.01.2017,59.9533
12.01.2017,60.1614
13.01.2017,59.4978
14.01.2017,59.37
17.01.2017,59.6067
18.01.2017,59.4015
19.01.2017,59.183
20.01.2017,59.3521
21.01.2017,59.6697
24.01.2017,59.5034
25.01.2017,59.2168
26.01.2017,59.1489
27.01.2017,59.6356
28.01.2017,60.3196
31.01.2017,60.1618
01.02.2017,60.0851
02.02.2017,60.3099
03.02.2017,59.9858
04.02.2017,59.3137
07.02.2017,58.7121
08.02.2017,59.1933
09.02.2017,59.5129
10.02.2017,59.0235
11.02.2017,58.8457
14.02.2017,58.0619
15.02.2017,57.7388
16.02.2017,56.7719
17.02.2017,57.1507
18.02.2017,57.6342
21.02.2017,58.0967
22.02.2017,57.859
23.02.2017,57.4762
28.02.2017,57.9371
01.03.2017,57.9627
02.03.2017,58.3776
03.03.2017,58.4067
04.03.2017,58.9099
07.03.2017,58.337
08.03.2017,58.263
10.03.2017,58.8318
11.03.2017,59.2174
14.03.2017,59.1327
15.03.2017,58.954
16.03.2017,59.1128
17.03.2017,58.2437
18.03.2017,57.9344
21.03.2017,57.2847
22.03.2017,57.2323
23.03.2017,57.636
24.03.2017,57.5228
25.03.2017,57.4247
28.03.2017,57.0233
29.03.2017,56.9364
30.03.2017,57.0241
31.03.2017,56.3779
01.04.2017,55.9606
04.04.2017,56.1396
05.04.2017,56.5553
06.04.2017,55.894
07.04.2017,56.4369
08.04.2017,56.9201
11.04.2017,57.3896
12.04.2017,56.9552
13.04.2017,56.7556
14.04.2017,56.6019
15.04.2017,56.2945
18.04.2017,56.2505
19.04.2017,55.9793
20.04.2017,56.1753
21.04.2017,56.4165
22.04.2017,56.2307
25.04.2017,56.0794
26.04.2017,55.8453
27.04.2017,56.3131
28.04.2017,56.9707
29.04.2017,56.9838
03.05.2017,56.9518
04.05.2017,57.0927
05.05.2017,57.5714
06.05.2017,58.5382
11.05.2017,58.0824
12.05.2017,57.1161
13.05.2017,57.164
16.05.2017,56.5258
17.05.2017,56.2603
18.05.2017,56.7383
19.05.2017,57.4683
20.05.2017,57.1602
23.05.2017,56.4988
24.05.2017,56.5552
25.05.2017,56.2743
26.05.2017,56.0701
27.05.2017,56.756
30.05.2017,56.7106
31.05.2017,56.5168
01.06.2017,56.6876
02.06.2017,56.5373
03.06.2017,56.6876
06.06.2017,56.6152
07.06.2017,56.6747
08.06.2017,56.5878
09.06.2017,56.9857
10.06.2017,57.002
14.06.2017,56.9096
15.06.2017,57.0303
16.06.2017,57.4437
17.06.2017,57.7408
20.06.2017,57.9585
21.06.2017,58.5786
22.06.2017,60
23.06.2017,60.1482
24.06.2017,59.6564
27.06.2017,59.0014
28.06.2017,58.8843
29.06.2017,59.5415
30.06.2017,59.0855
01.07.2017,59.3862
04.07.2017,58.9695
05.07.2017,59.2295
06.07.2017,59.5787
07.07.2017,60.2426
08.07.2017,60.3792
11.07.2017,60.3014
12.07.2017,60.7397
13.07.2017,60.6227
14.07.2017,60.1836
15.07.2017,59.8806
18.07.2017,59.0657
19.07.2017,59.3705
20.07.2017,59.2418
21.07.2017,59.0823
22.07.2017,58.9325
25.07.2017,59.6572
26.07.2017,59.8185
27.07.2017,59.9102
28.07.2017,59.4102
29.07.2017,59.5436
01.08.2017,60.0633
02.08.2017,59.8454
03.08.2017,60.5819
04.08.2017,60.7503
05.08.2017,60.3281
08.08.2017,60.0605
09.08.2017,59.9886
10.08.2017,59.9611
11.08.2017,59.9298
12.08.2017,60.1873
15.08.2017,59.799
16.08.2017,59.9266
17.08.2017,59.6521
18.08.2017,59.249
19.08.2017,59.3612
22.08.2017,59.1409
23.08.2017,59.0396
24.08.2017,59.1312
25.08.2017,59.1397
26.08.2017,59.1476
29.08.2017,58.5469
30.08.2017,58.532
31.08.2017,58.7306
01.09.2017,58.5454
02.09.2017,58.0557
05.09.2017,57.7817
06.09.2017,57.8503
